cigar	雪茄
sissy	娘娘腔
humph	哼
awake	醒着的
blush	脸红
focal	焦
evade	逃避
naval	海军
serve	服务
heath	希斯
dwarf	矮
model	模型
karma	业力
stink	臭
grade	年级
quiet	安静的
bench	板凳上
abate	减弱
feign	假装
major	主要
death	死亡
fresh	新鲜的
crust	地壳
stool	凳子
colon	结肠
abase	自卑
marry	结婚
react	反应
batty	古怪的
pride	骄傲
floss	牙线
helix	螺旋
croak	用嘶哑的声音
staff	工作人员
paper	纸
unfed	得不到支持的
whelp	幼兽
trawl	用拖网捕鱼
outdo	超越
crazy	疯狂的
sower	撒种
repay	偿还
digit	数字
crate	箱
cluck	咯咯的叫声
spike	斯派克
mimic	模仿
pound	英镑
maxim	格言
linen	亚麻
unmet	未满足的
flesh	肉
booby	成绩最差的人
forth	出来
first	第一个
stand	站
belly	肚子
ivory	象牙
seedy	破烂的
print	打印
yearn	向往
drain	排水
bribe	贿赂
stout	结实的
panel	面板
crass	粗鲁的
flume	水槽
offal	内脏
agree	同意
error	错误
swirl	漩涡
argue	认为
bleed	流血
flick	电影
totem	图腾
wooer	求爱者
front	前面
shrub	灌木
parry	帕里
biome	生物群落
lapel	翻领
start	开始
greet	问候
goner	落魄的人
golem	傀儡
lusty	精力充沛的
loopy	呆头呆脑的
round	轮
audit	审计
lying	说谎
gamma	γ
labor	劳动
islet	胰岛
civic	公民
forge	打造
corny	陈腔滥调
basic	基本
salad	沙拉
agate	玛瑙
spicy	辣的
spray	喷雾
essay	文章
fjord	峡湾
spend	花
kebab	烤肉串
guild	公会
aback	吓
motor	电动机
alone	独自一人
hatch	孵化
hyper	超
thumb	拇指
dowry	嫁妆
ought	应该
belch	打嗝
dutch	荷兰
pilot	飞行员
tweed	斜纹软呢
comet	彗星
jaunt	短途旅游
enema	灌肠
steed	骏马
abyss	深渊
growl	咆哮
fling	舞
dozen	打
boozy	嗜酒的
erode	侵蚀
world	世界
gouge	圆凿
click	点击
briar	布瑞尔·罗
great	伟大的
altar	坛
pulpy	泥状的
blurt	突然说出
coast	海岸
duchy	公国
groin	腹股沟
group	集团
rogue	流氓
badly	严重
smart	聪明的
pithy	简洁有力的
gaudy	俗丽的
chill	寒冷
heron	鹭
vodka	伏特加
finer	细
surer	可靠
radio	广播
perch	鲈鱼
retch	恶心
wrote	写了
clock	时钟
tilde	波浪号
store	商店
prove	证明
bring	带
solve	解决
cheat	作弊
grime	污垢
exult	欢乐
usher	开启
epoch	时代
triad	三合会
break	打破
rhino	犀牛
viral	病毒
conic	二次曲线
sonic	声波
vital	至关重要的
trace	跟踪
using	使用
peach	桃子
baton	接力棒
brake	刹车
pluck	摘下
craze	狂热
weary	疲惫的
picky	挑剔的
acute	急性
ferry	渡船
aside	一边
tapir	貘
troll	巨魔
unify	统一
rebus	字谜
boost	提高
truss	桁架
siege	围攻
tiger	老虎
slump	衰退
crank	曲柄
query	查询
drink	喝
